Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2010,sf1,2010sf1,J,Portugal,Belgium,12
2010,sf1,2010sf1,J,Portugal,Estonia,4
2010,sf1,2010sf1,J,Portugal,Greece,10
2010,sf1,2010sf1,J,Portugal,Iceland,6
2010,sf1,2010sf1,J,Portugal,Malta,3
2010,sf1,2010sf1,J,Portugal,Moldova,8
2010,sf1,2010sf1,J,Portugal,Russia,1
2010,sf1,2010sf1,J,Portugal,Serbia,2
2010,sf1,2010sf1,J,Russia,Belarus,12
2010,sf1,2010sf1,J,Russia,Belgium,10
2010,sf1,2010sf1,J,Russia,Bosnia & Herzegovina,2
2010,sf1,2010sf1,J,Russia,North Macedonia,1
2010,sf1,2010sf1,J,Russia,Finland,3
2010,sf1,2010sf1,J,Russia,Greece,7
2010,sf1,2010sf1,J,Russia,Iceland,8
2010,sf1,2010sf1,J,Russia,Moldova,5
2010,sf1,2010sf1,J,Russia,Poland,6
2010,sf1,2010sf1,J,Russia,Serbia,4
2010,sf1,2010sf1,J,Serbia,Albania,2
2010,sf1,2010sf1,J,Serbia,Belgium,7
2010,sf1,2010sf1,J,Serbia,Bosnia & Herzegovina,12
2010,sf1,2010sf1,J,Serbia,North Macedonia,8
2010,sf1,2010sf1,J,Serbia,Greece,10
2010,sf1,2010sf1,J,Serbia,Iceland,3
2010,sf1,2010sf1,J,Serbia,Moldova,1
2010,sf1,2010sf1,J,Serbia,Portugal,5
2010,sf1,2010sf1,J,Serbia,Russia,4
2010,sf1,2010sf1,J,Spain,Albania,4
2010,sf1,2010sf1,J,Spain,Belgium,8
2010,sf1,2010sf1,J,Spain,Finland,2
2010,sf1,2010sf1,J,Spain,Greece,10
2010,sf1,2010sf1,J,Spain,Iceland,7
2010,sf1,2010sf1,J,Spain,Malta,1
2010,sf1,2010sf1,J,Spain,Moldova,5
2010,sf1,2010sf1,J,Spain,Poland,3
2010,sf1,2010sf1,J,Spain,Portugal,12
2010,sf1,2010sf1,J,Spain,Serbia,6
2010,sf2,2010sf2,J,Armenia,Croatia,7
2010,sf2,2010sf2,J,Armenia,Cyprus,6
2010,sf2,2010sf2,J,Armenia,Denmark,5
2010,sf2,2010sf2,J,Armenia,Georgia,12
2010,sf2,2010sf2,J,Armenia,Ireland,1
2010,sf2,2010sf2,J,Armenia,Israel,8
2010,sf2,2010sf2,J,Armenia,Lithuania,2
2010,sf2,2010sf2,J,Armenia,Romania,4
2010,sf2,2010sf2,J,Armenia,Sweden,3
2010,sf2,2010sf2,J,Armenia,Ukraine,10
2010,sf2,2010sf2,J,Azerbaijan,Croatia,1
2010,sf2,2010sf2,J,Azerbaijan,Cyprus,3
2010,sf2,2010sf2,J,Azerbaijan,Denmark,6
2010,sf2,2010sf2,J,Azerbaijan,Georgia,10
2010,sf2,2010sf2,J,Azerbaijan,Ireland,4
2010,sf2,2010sf2,J,Azerbaijan,Israel,7
2010,sf2,2010sf2,J,Azerbaijan,Romania,5
2010,sf2,2010sf2,J,Azerbaijan,Sweden,2
2010,sf2,2010sf2,J,Azerbaijan,Turkey,12
2010,sf2,2010sf2,J,Azerbaijan,Ukraine,8
2010,sf2,2010sf2,J,Bulgaria,Armenia,8
2010,sf2,2010sf2,J,Bulgaria,Azerbaijan,7
2010,sf2,2010sf2,J,Bulgaria,Croatia,3
2010,sf2,2010sf2,J,Bulgaria,Cyprus,5
2010,sf2,2010sf2,J,Bulgaria,Denmark,2
2010,sf2,2010sf2,J,Bulgaria,Georgia,10
2010,sf2,2010sf2,J,Bulgaria,Israel,1
2010,sf2,2010sf2,J,Bulgaria,Romania,4
2010,sf2,2010sf2,J,Bulgaria,Turkey,12
2010,sf2,2010sf2,J,Bulgaria,Ukraine,6
2010,sf2,2010sf2,J,Croatia,Azerbaijan,10
2010,sf2,2010sf2,J,Croatia,Cyprus,12
2010,sf2,2010sf2,J,Croatia,Denmark,4
2010,sf2,2010sf2,J,Croatia,Georgia,7
2010,sf2,2010sf2,J,Croatia,Ireland,3
2010,sf2,2010sf2,J,Croatia,Lithuania,1
2010,sf2,2010sf2,J,Croatia,Slovenia,5
2010,sf2,2010sf2,J,Croatia,Sweden,2
2010,sf2,2010sf2,J,Croatia,Turkey,8
2010,sf2,2010sf2,J,Croatia,Ukraine,6
2010,sf2,2010sf2,J,Cyprus,Armenia,12
2010,sf2,2010sf2,J,Cyprus,Azerbaijan,10
2010,sf2,2010sf2,J,Cyprus,Bulgaria,5
2010,sf2,2010sf2,J,Cyprus,Denmark,3
2010,sf2,2010sf2,J,Cyprus,Georgia,7
2010,sf2,2010sf2,J,Cyprus,Israel,4
2010,sf2,2010sf2,J,Cyprus,Lithuania,2
2010,sf2,2010sf2,J,Cyprus,Romania,8
2010,sf2,2010sf2,J,Cyprus,Sweden,1
2010,sf2,2010sf2,J,Cyprus,Ukraine,6
2010,sf2,2010sf2,J,Denmark,Azerbaijan,5
2010,sf2,2010sf2,J,Denmark,Croatia,2
2010,sf2,2010sf2,J,Denmark,Cyprus,7
2010,sf2,2010sf2,J,Denmark,Ireland,6
2010,sf2,2010sf2,J,Denmark,Lithuania,1
2010,sf2,2010sf2,J,Denmark,Romania,8
2010,sf2,2010sf2,J,Denmark,Sweden,12
2010,sf2,2010sf2,J,Denmark,The Netherlands,4
2010,sf2,2010sf2,J,Denmark,Turkey,10
2010,sf2,2010sf2,J,Denmark,Ukraine,3
2010,sf2,2010sf2,J,Georgia,Armenia,10
2010,sf2,2010sf2,J,Georgia,Azerbaijan,12
2010,sf2,2010sf2,J,Georgia,Denmark,3
2010,sf2,2010sf2,J,Georgia,Israel,5
2010,sf2,2010sf2,J,Georgia,Lithuania,8
2010,sf2,2010sf2,J,Georgia,Romania,4
2010,sf2,2010sf2,J,Georgia,Switzerland,2
2010,sf2,2010sf2,J,Georgia,The Netherlands,1
2010,sf2,2010sf2,J,Georgia,Turkey,6
2010,sf2,2010sf2,J,Georgia,Ukraine,7
2010,sf2,2010sf2,J,Ireland,Azerbaijan,10
2010,sf2,2010sf2,J,Ireland,Croatia,1
2010,sf2,2010sf2,J,Ireland,Denmark,4
2010,sf2,2010sf2,J,Ireland,Georgia,7
2010,sf2,2010sf2,J,Ireland,Lithuania,12
2010,sf2,2010sf2,J,Ireland,Romania,6
2010,sf2,2010sf2,J,Ireland,Sweden,5
2010,sf2,2010sf2,J,Ireland,The Netherlands,3
2010,sf2,2010sf2,J,Ireland,Turkey,8
2010,sf2,2010sf2,J,Ireland,Ukraine,2
2010,sf2,2010sf2,J,Israel,Armenia,12
2010,sf2,2010sf2,J,Israel,Azerbaijan,5
2010,sf2,2010sf2,J,Israel,Cyprus,10
2010,sf2,2010sf2,J,Israel,Denmark,7
2010,sf2,2010sf2,J,Israel,Georgia,6
2010,sf2,2010sf2,J,Israel,Ireland,3
2010,sf2,2010sf2,J,Israel,Romania,8
2010,sf2,2010sf2,J,Israel,Slovenia,1
2010,sf2,2010sf2,J,Israel,The Netherlands,4
2010,sf2,2010sf2,J,Israel,Ukraine,2
2010,sf2,2010sf2,J,Lithuania,Armenia,1
2010,sf2,2010sf2,J,Lithuania,Azerbaijan,2
2010,sf2,2010sf2,J,Lithuania,Cyprus,4
2010,sf2,2010sf2,J,Lithuania,Denmark,5
2010,sf2,2010sf2,J,Lithuania,Georgia,12
2010,sf2,2010sf2,J,Lithuania,Ireland,7
2010,sf2,2010sf2,J,Lithuania,Romania,6
2010,sf2,2010sf2,J,Lithuania,Sweden,3
2010,sf2,2010sf2,J,Lithuania,Turkey,8
2010,sf2,2010sf2,J,Lithuania,Ukraine,10
2010,sf2,2010sf2,J,Norway,Azerbaijan,2
2010,sf2,2010sf2,J,Norway,Denmark,8
2010,sf2,2010sf2,J,Norway,Ireland,6
2010,sf2,2010sf2,J,Norway,Israel,7
2010,sf2,2010sf2,J,Norway,Lithuania,5
2010,sf2,2010sf2,J,Norway,Romania,10
2010,sf2,2010sf2,J,Norway,Sweden,12
2010,sf2,2010sf2,J,Norway,The Netherlands,3
2010,sf2,2010sf2,J,Norway,Turkey,1
2010,sf2,2010sf2,J,Norway,Ukraine,4
2010,sf2,2010sf2,J,Romania,Armenia,10
2010,sf2,2010sf2,J,Romania,Azerbaijan,8
2010,sf2,2010sf2,J,Romania,Cyprus,6
2010,sf2,2010sf2,J,Romania,Denmark,12
2010,sf2,2010sf2,J,Romania,Georgia,2
2010,sf2,2010sf2,J,Romania,Ireland,4
2010,sf2,2010sf2,J,Romania,Israel,3
2010,sf2,2010sf2,J,Romania,Sweden,1
2010,sf2,2010sf2,J,Romania,Turkey,7
2010,sf2,2010sf2,J,Romania,Ukraine,5
2010,sf2,2010sf2,J,Slovenia,Azerbaijan,8
2010,sf2,2010sf2,J,Slovenia,Croatia,12
2010,sf2,2010sf2,J,Slovenia,Denmark,10
2010,sf2,2010sf2,J,Slovenia,Georgia,7
2010,sf2,2010sf2,J,Slovenia,Ireland,2
2010,sf2,2010sf2,J,Slovenia,Israel,5
2010,sf2,2010sf2,J,Slovenia,Romania,4
2010,sf2,2010sf2,J,Slovenia,The Netherlands,6
2010,sf2,2010sf2,J,Slovenia,Turkey,3
2010,sf2,2010sf2,J,Slovenia,Ukraine,1
2010,sf2,2010sf2,J,Sweden,Armenia,5
2010,sf2,2010sf2,J,Sweden,Azerbaijan,3
2010,sf2,2010sf2,J,Sweden,Cyprus,6
2010,sf2,2010sf2,J,Sweden,Denmark,12
2010,sf2,2010sf2,J,Sweden,Georgia,2
2010,sf2,2010sf2,J,Sweden,Israel,8
2010,sf2,2010sf2,J,Sweden,Lithuania,4
2010,sf2,2010sf2,J,Sweden,Romania,7
2010,sf2,2010sf2,J,Sweden,The Netherlands,1
2010,sf2,2010sf2,J,Sweden,Turkey,10
2010,sf2,2010sf2,J,Switzerland,Armenia,3
2010,sf2,2010sf2,J,Switzerland,Azerbaijan,6
2010,sf2,2010sf2,J,Switzerland,Croatia,7
2010,sf2,2010sf2,J,Switzerland,Denmark,5
2010,sf2,2010sf2,J,Switzerland,Georgia,1
2010,sf2,2010sf2,J,Switzerland,Ireland,12
2010,sf2,2010sf2,J,Switzerland,Romania,4
2010,sf2,2010sf2,J,Switzerland,Sweden,10
2010,sf2,2010sf2,J,Switzerland,The Netherlands,2
2010,sf2,2010sf2,J,Switzerland,Turkey,8
2010,sf2,2010sf2,J,The Netherlands,Armenia,10
2010,sf2,2010sf2,J,The Netherlands,Azerbaijan,1
2010,sf2,2010sf2,J,The Netherlands,Denmark,4
2010,sf2,2010sf2,J,The Netherlands,Georgia,5
2010,sf2,2010sf2,J,The Netherlands,Ireland,8
2010,sf2,2010sf2,J,The Netherlands,Israel,12
2010,sf2,2010sf2,J,The Netherlands,Romania,3
2010,sf2,2010sf2,J,The Netherlands,Sweden,6
2010,sf2,2010sf2,J,The Netherlands,Turkey,7
2010,sf2,2010sf2,J,The Netherlands,Ukraine,2
2010,sf2,2010sf2,J,Turkey,Armenia,4
2010,sf2,2010sf2,J,Turkey,Azerbaijan,12
2010,sf2,2010sf2,J,Turkey,Bulgaria,7
2010,sf2,2010sf2,J,Turkey,Denmark,6
2010,sf2,2010sf2,J,Turkey,Georgia,10
2010,sf2,2010sf2,J,Turkey,Ireland,1
