From country,Voting Type,Points,To country,Year,Edition
Germany,Televoter,4,Norway,2021,sf1
Germany,Televoter,3,Belgium,2021,sf1
Germany,Televoter,2,Azerbaijan,2021,sf1
Germany,Televoter,1,Cyprus,2021,sf1
Ireland,Jury,12,Malta,2021,sf1
Ireland,Jury,10,Croatia,2021,sf1
Ireland,Jury,8,Russia,2021,sf1
Ireland,Jury,7,Azerbaijan,2021,sf1
Ireland,Jury,6,Ukraine,2021,sf1
Ireland,Jury,5,Lithuania,2021,sf1
Ireland,Jury,4,Cyprus,2021,sf1
Ireland,Jury,3,Norway,2021,sf1
Ireland,Jury,2,North Macedonia,2021,sf1
Ireland,Jury,1,Sweden,2021,sf1
Ireland,Televoter,12,Lithuania,2021,sf1
Ireland,Televoter,10,Malta,2021,sf1
Ireland,Televoter,8,Ukraine,2021,sf1
Ireland,Televoter,7,Croatia,2021,sf1
Ireland,Televoter,6,Cyprus,2021,sf1
Ireland,Televoter,5,Israel,2021,sf1
Ireland,Televoter,4,Sweden,2021,sf1
Ireland,Televoter,3,Romania,2021,sf1
Ireland,Televoter,2,Norway,2021,sf1
Ireland,Televoter,1,Russia,2021,sf1
Israel,Jury,12,Lithuania,2021,sf1
Israel,Jury,10,Cyprus,2021,sf1
Israel,Jury,8,Malta,2021,sf1
Israel,Jury,7,Belgium,2021,sf1
Israel,Jury,6,Russia,2021,sf1
Israel,Jury,5,Sweden,2021,sf1
Israel,Jury,4,Ukraine,2021,sf1
Israel,Jury,3,Slovenia,2021,sf1
Israel,Jury,2,Norway,2021,sf1
Israel,Jury,1,Croatia,2021,sf1
Israel,Televoter,12,Russia,2021,sf1
Israel,Televoter,10,Malta,2021,sf1
Israel,Televoter,8,Ukraine,2021,sf1
Israel,Televoter,7,Azerbaijan,2021,sf1
Israel,Televoter,6,Cyprus,2021,sf1
Israel,Televoter,5,Lithuania,2021,sf1
Israel,Televoter,4,Norway,2021,sf1
Israel,Televoter,3,Croatia,2021,sf1
Israel,Televoter,2,Sweden,2021,sf1
Israel,Televoter,1,Belgium,2021,sf1
Italy,Jury,12,Israel,2021,sf1
Italy,Jury,10,Belgium,2021,sf1
Italy,Jury,8,Malta,2021,sf1
Italy,Jury,7,Lithuania,2021,sf1
Italy,Jury,6,Norway,2021,sf1
Italy,Jury,5,Russia,2021,sf1
Italy,Jury,4,Sweden,2021,sf1
Italy,Jury,3,Cyprus,2021,sf1
Italy,Jury,2,Croatia,2021,sf1
Italy,Jury,1,Ireland,2021,sf1
Italy,Televoter,12,Ukraine,2021,sf1
Italy,Televoter,10,Romania,2021,sf1
Italy,Televoter,8,Lithuania,2021,sf1
Italy,Televoter,7,Russia,2021,sf1
Italy,Televoter,6,Malta,2021,sf1
Italy,Televoter,5,Azerbaijan,2021,sf1
Italy,Televoter,4,Belgium,2021,sf1
Italy,Televoter,3,Israel,2021,sf1
Italy,Televoter,2,Cyprus,2021,sf1
Italy,Televoter,1,Norway,2021,sf1
Lithuania,Jury,12,Ukraine,2021,sf1
Lithuania,Jury,10,Belgium,2021,sf1
Lithuania,Jury,8,Australia,2021,sf1
Lithuania,Jury,7,Israel,2021,sf1
Lithuania,Jury,6,Malta,2021,sf1
Lithuania,Jury,5,Romania,2021,sf1
Lithuania,Jury,4,Cyprus,2021,sf1
Lithuania,Jury,3,Sweden,2021,sf1
Lithuania,Jury,2,Norway,2021,sf1
Lithuania,Jury,1,Croatia,2021,sf1
Lithuania,Televoter,12,Ukraine,2021,sf1
Lithuania,Televoter,10,Belgium,2021,sf1
Lithuania,Televoter,8,Russia,2021,sf1
Lithuania,Televoter,7,Malta,2021,sf1
Lithuania,Televoter,6,Norway,2021,sf1
Lithuania,Televoter,5,Sweden,2021,sf1
Lithuania,Televoter,4,Cyprus,2021,sf1
Lithuania,Televoter,3,Azerbaijan,2021,sf1
Lithuania,Televoter,2,Israel,2021,sf1
Lithuania,Televoter,1,Ireland,2021,sf1
Malta,Jury,12,Romania,2021,sf1
Malta,Jury,10,Sweden,2021,sf1
Malta,Jury,8,Cyprus,2021,sf1
Malta,Jury,7,Ukraine,2021,sf1
Malta,Jury,6,Azerbaijan,2021,sf1
Malta,Jury,5,Slovenia,2021,sf1
Malta,Jury,4,Lithuania,2021,sf1
Malta,Jury,3,Croatia,2021,sf1
Malta,Jury,2,Ireland,2021,sf1
Malta,Jury,1,Russia,2021,sf1
Malta,Televoter,12,Cyprus,2021,sf1
Malta,Televoter,10,Sweden,2021,sf1
Malta,Televoter,8,Azerbaijan,2021,sf1
Malta,Televoter,7,Lithuania,2021,sf1
Malta,Televoter,6,Norway,2021,sf1
Malta,Televoter,5,Israel,2021,sf1
Malta,Televoter,4,Ukraine,2021,sf1
Malta,Televoter,3,Romania,2021,sf1
Malta,Televoter,2,Russia,2021,sf1
Malta,Televoter,1,Ireland,2021,sf1
Netherlands,Jury,12,Russia,2021,sf1
Netherlands,Jury,10,Belgium,2021,sf1
Netherlands,Jury,8,Israel,2021,sf1
Netherlands,Jury,7,Malta,2021,sf1
Netherlands,Jury,6,Ukraine,2021,sf1
Netherlands,Jury,5,Sweden,2021,sf1
Netherlands,Jury,4,Norway,2021,sf1
Netherlands,Jury,3,Lithuania,2021,sf1
Netherlands,Jury,2,Azerbaijan,2021,sf1
Netherlands,Jury,1,Romania,2021,sf1
Netherlands,Televoter,12,Malta,2021,sf1
Netherlands,Televoter,10,Ukraine,2021,sf1
Netherlands,Televoter,8,Lithuania,2021,sf1
Netherlands,Televoter,7,Belgium,2021,sf1
Netherlands,Televoter,6,Israel,2021,sf1
Netherlands,Televoter,5,Russia,2021,sf1
Netherlands,Televoter,4,Azerbaijan,2021,sf1
Netherlands,Televoter,3,Norway,2021,sf1
Netherlands,Televoter,2,Sweden,2021,sf1
Netherlands,Televoter,1,Cyprus,2021,sf1
North Macedonia,Jury,12,Israel,2021,sf1
North Macedonia,Jury,10,Malta,2021,sf1
North Macedonia,Jury,8,Croatia,2021,sf1
North Macedonia,Jury,7,Russia,2021,sf1
North Macedonia,Jury,6,Azerbaijan,2021,sf1
North Macedonia,Jury,5,Ukraine,2021,sf1
North Macedonia,Jury,4,Cyprus,2021,sf1
North Macedonia,Jury,3,Slovenia,2021,sf1
